name,address,lat,lon,timings
Sacred Chow,"227 Sullivan Street, New York 10012",40.7297638889,-73.9997472222,"11 AM to 10 PM (Mon-Thu),11 AM to 11 PM (Fri-Sat),11 AM to 9 PM (Sun)"
Saravanaa Bhavan,81 Lexington Avenue 10016,40.7414600000,-73.9830300000,"8:30 AM to 10 PM (Mon-Thu, Sun), 8:30 AM to 10:30 PM (Fri-Sat)"
Kajitsu,"125 E 39th Street, New York 10016",40.7498614000,-73.9777215000,"Closed (Mon),5:30 PM to 9 PM (Tue-Sun)"
Beyond Sushi,"229 E 14th Street, New York 10003",40.7327333333,-73.9859472222,"11:30 AM to 9:30 PM (Mon, Tue, Wed, Sun), 11:30 AM to 10:30 PM (Thu-Sat)"
Vegetarian Paradise 2,"144 W 4th Street, New York 10012",40.7313500000,-74.0005670000,"12 Noon to 11 PM (Mon, Tue, Wed, Thu, Sun), 12 Noon to 12 Midnight (Fri-Sat)"
Ganesh Temple Canteen,"143-09 Holly Avenue, Queens 11355",40.7525140000,-73.8165270000,8:30 AM to 9:30 PM
Garden Fresh,"1245 W El Camino Real, Mountain View 94040",37.3878666667,-122.0890111111,"11 AM to 9:30 PM (Mon-Fri),11:30 AM to 9:30 PM (Sat-Sun)"
Kamakshi's Kitchen,"601 Old County Road, San Carlos 94070",37.5078019000,-122.2595096000,"11 AM to 2:30 PM (Mon),11 AM to 2:30 PM, 5:30 PM to 9 PM (Tue-Fri),10 AM to 3 PM, 5:30 PM to 9 PM (Sat),10 AM to 3 PM (Sun)"
Yam Leaf,"699 Calderon Avenue, Mountain View 94041",37.3849996000,-122.0754363000,"11:30 AM to 2 PM, 4 PM to 9 PM (Mon-Sat),Closed (Sun)"
Thali Indian Vegetarian,"3064 El Camino Real, Santa Clara 95051",37.3514250000,-121.9821083333,"11:30 AM to 3 PM, 6 PM to 10 PM (Mon-Sun)"
Saravanaa Bhavan,"3720 Mowry Avenue, Fremont 94538",37.5503833333,-121.9863138889,"11:30 AM to 2:30 PM, 5:30 PM to 10 PM (Mon-Fri),10 AM to 10 PM (Sat-Sun)"
Merit Vegetarian,"548 Lawrence Expressway, Sunnyvale 94085",37.3849611111,-121.9949333333,11 AM to 9 PM (Mon-Sun)
